seq,latitude,longitude,altitude,accuracy,serverReceivedEpochMs,serverForwardEpochMs,phoneSendEstimatedServerEpochMs,phoneCallbackIntervalMs,geolocationAgeAtSendMs,pcReceiveLocalEpochMs,pcReceiveEstimatedServerEpochMs,monitorInterarrivalMs,phoneToServerLatencyMs,serverToMonitorLatencyMs,endToEndLatencyMs
5,37.25670275907329,127.18632347879303,148.9536383396089,19.255982077070836,1776757417532,1776757417532,1776757417442,1210,10,1776757422259.2,1776757417568.7502,NaN,90,36.750244140625,126.750244140625
6,37.25673305925314,127.18629556104878,148.2092578796509,21.241539534884723,1776757423954,1776757423954,1776757423895.5,6440,9,1776757428681.7,1776757423990.25,6422.5,58.5,36.25,94.75
7,37.25682932360658,127.18616842485629,148.30238289217132,29.72026181922126,1776757430374,1776757430374,1776757430308.5,6413,11,1776757435102.2998,1776757430410.5,6420.599853515625,65.5,36.5,102
8,37.25681997590662,127.18616618272526,148.3023867068686,35.80713580172243,1776757431604,1776757431604,1776757431519.5,1211,13,1776757436352,1776757431660.2002,1249.7001953125,84.5,56.2001953125,140.7001953125
9,37.25681114961473,127.18619071353882,148.44264312573762,30.080931603132704,1776757436845,1776757436845,1776757436778.5,5259,3,1776757441574,1776757436882.2002,5222,66.5,37.2001953125,103.7001953125
10,37.25681114961474,127.18619071353882,148.4456252295507,30.081055948418516,1776757436850,1776757436850,1776757436795.5,17,6,1776757441587.5,1776757436895.7002,13.5,54.5,45.7001953125,100.2001953125
11,37.25682749792551,127.18612679322446,148.10477855311902,21.123011533476372,1776757438000,1776757438000,1776757437937.5,1142,15,1776757442729.2,1776757438037.4001,1141.699951171875,62.5,37.400146484375,99.900146484375
12,37.256826848764334,127.18612424373411,148.10477855311902,21.133520113668975,1776757439481,1776757439481,1776757439401.5,1464,38,1776757444209.9,1776757439518.1,1480.699951171875,79.5,37.10009765625,116.60009765625
13,37.256880440400145,127.18615571388509,147.55715736528677,19.959501876169913,1776757445878,1776757445878,1776757445794,6390,12,1776757450606.7,1776757445914.9001,6396.800048828125,84,36.900146484375,120.900146484375
14,37.25695591238403,127.18618895465164,147.25514154332285,20.95678232813446,1776757452275,1776757452275,1776757452204,6414,11,1776757457004.2998,1776757452312.5,6397.599853515625,71,37.5,108.5
15,37.257037916647725,127.18621999033859,146.5828186774389,21.26109428046346,1776757458690,1776757458690,1776757458614,6410,10,1776757463420,1776757458728.2002,6415.7001953125,76,38.2001953125,114.2001953125
16,37.25701988910854,127.18613654522999,146.5277494300713,20.595376295710917,1776757465120,1776757465120,1776757465023,6409,11,1776757469849.7,1776757465157.9001,6429.699951171875,97,37.900146484375,134.900146484375
